text,sentiment
RT @CricProf  Two contrasting but brilliant hundreds from Warner  amp  Bairstow. Bairstow scored 90  79   out of his 114 runs in boundaries  at ,positive
RT @virendersehwag  What an exhibition of T20 batting from @davidwarner31 and @jbairstow21 . Entertainment level peak. What a comprehensive ,neutral
Come back strong king #Kohli #IPL2019 #SRHvRCB https   t.co XuHJTQv72u,positive
RT @sachin rt  Watching @jbairstow21  amp  @davidwarner31 bat. Must say everything about their partnership has been extraordinary. Some serious ,neutral
RT @IPL  The better celebration to a  ?  #SRHvRCB #VIVOIPL https   t.co tV2q9YQtzm,positive
#SRHvRCB RCB not good start of ipl... ABD and Virat such a good player..#ViratKohli number 1 batsman in ODI ranking  https   t.co djyTnha4VT,positive
RT @IPL  Match 11. Royal Challengers Bangalore win the toss and elect to field https   t.co XjXzGv8dZL #SRHvRCB #VIVOIPL,positive
RT @IPL  Welcome to Match 11 of the 2019 #VIVOIPL between SRH and RCB https   t.co XjXzGv8dZL #SRHvRCB #VIVOIPL,positive
RT @IPL  Virat Kohli calls it right at the toss and elects to bowl first against @SunRisers   #SRHvRCB #VIVOIPL https   t.co oJ7jobTOcF,positive
RT @IPL  Here s the Playing XI for #SRHvRCB  16 year old Prayas Ray Barman is all set to make his debut for #RCB    https   t.co xZAhxmWU03,positive
RT @IPL  Three in a row    @davidwarner31 and @jbairstow21 have added 50  together in all of @SunRisers  #VIVOIPL 2019 games so far    #SRH ,positive
RT @IPL  Youngest #VIVOIPL debutant at 16 for @RCBTweets    What was your biggest achievement at 16? #SRHvRCB https   t.co EzRaK14ISf,neutral
RT @IPL  39  45 and now whizzed past 50    @jbairstow21 has gone from strength to strength in his 1st #VIVOIPL season  for @SunRisers   #SR ,negative
RT @IPL  Also 3 consecutive Fifties for @davidwarner31    @SunRisers fans are having a #SundayFunday     #SRHvRCB https   t.co jbGcLpSMxY,neutral
RT @SunRisers  They came.  They saw.  They conquered.   #OrangeArmy #RiseWithUs #SRHvRCB https   t.co 8awff9YI9s,neutral
RT @IPL  This has been an absolutely delightful innings from @jbairstow21 as he brings up his maiden #VIVOIPL    #SRHvRCB https   t.co zfZf ,positive
RT @IPL  A day when a few #VIVOIPL records have already been broken! #SRHvRCB https   t.co SdGuBAyO0j,negative
RT @VVSLaxman281  Batsmanship of the highest quality from @jbairstow21  amp  @davidwarner31  amp  some crafty bowling from @MohammadNabi007  amp  @sand ,positive
RT @IPL  Invaluable hundred from @jbairstow21    @davidwarner31 or Bairstow  who was your key performer  @SunRisers ?   #VIVOIPL #SRHvRCB h ,neutral
